question,choices,correct_answer,unsure_option,sources,ideal,distractors
Acinetobacter lwoffii has been evolved in the lab to be resistant to which of these antibiotics?,(A) gentamicin|(B) ampicillin|(C) meropenem|(D) Insufficient information to answer the question|(E) ciproflaxin,E,D,https://doi.org/10.1128/msphere.00109-24,ciproflaxin,meropenem|gentamicin|ampicillin
Active olfactory receptor genes increase their contacts with greek island regions by what factor in mouse olfactory neurons?,(A) 27 fold|(B) 3.0 fold|(C) 2.0 fold|(D) Insufficient information to answer the question|(E) 1.7 fold|(F) 2.7 fold,F,D,https://doi.org/10.1038/s41586-023-06845-4,2.7 fold,1.7 fold|27 fold|3.0 fold|2.0 fold
"Among Cas9-disrupted loci in human neural stem cells, what fraction of disruption phenotypes were apparent after 4 cell divisions?",(A) 31% of enhancer loci|(B) 31% of gene loci|(C) 61% conserved region loci|(D) Insufficient information to answer the question|(E) 61% of enhancer loci|(F) 61% of gene loci|(G) 31% conserved region loci,F,D,https://doi.org/10.1016/j.celrep.2024.113693,61% of gene loci,61% of enhancer loci|31% of gene loci|31% of enhancer loci|61% conserved region loci|31% conserved region loci
Approximately how many unique transposable element insertion loci are there in the mandarin (Citrus reticulata) genome?,"(A) 4|(B) 400|(C) Insufficient information to answer the question|(D) 39|(E) 2|(F) 850|(G) 12,300|(H) 2|(I) 750|(J) 900",G,C,https://doi.org/10.1101/2022.03.19.484946,"12,300",4|900|39|400|2|750|2|850
Approximately what percentage of Drosophila with a H3.3K36R mutation finish developing and enclose?,(A) Insufficient information to answer the question|(B) 6%|(C) 80%|(D) 94%|(E) 19%|(F) 37%|(G) 50%,C,A,https://doi.org/10.1101/2024.05.03.592390,80%,19%|50%|37%|6%|94%
"Approximately what percentage of adr-1(-), adr-2(-), and adr-1(-);adr-2(-) mutant C. elegans will die after exposure to 36ºC for 6 hours, where survival is assessed after 14h of recovery at 20ºC?",(A) Insufficient information to answer the question|(B) 60%|(C) 70%|(D) 10%|(E) 80%|(F) 40%|(G) 50%|(H) 30%|(I) 20%,D,A,https://doi.org/10.1186/s12915-024-01840-1,10%,20%|30%|40%|50%|60%|70%|80%
"Are enhancer and promoter sequences broadly compatible in human cells, and is this the same as in drosophila?","(A) no, yes|(B) no, no|(C) yes, yes|(D) Insufficient information to answer the question|(E) yes, no",E,D,https://doi.org/10.1038/s41586-022-04877-w,"yes, no","yes, yes|no, yes|no, no"
At which amino acid position is a large oligosaccharide density observed in the cryo-EM map of Nav1.6?,(A) Insufficient information to answer the question|(B) Leu288|(C) Trp324|(D) Phe302|(E) Asn326,E,A,https://doi.org/10.1073/pnas.2220578120,Asn326,Leu288|Phe302|Trp324
"Based on experiments done in cohorts of mice injected with B16-F10 melanoma cells expressing ovalbumin, at what time of day is the number of tumor-infiltrating leukocytes the highest?",(A) morning|(B) Insufficient information to answer the question|(C) dawn|(D) evening|(E) middle of the night,D,B,https://doi.org/10.1016/j.cell.2024.04.015,evening,morning|dawn|middle of the night
"Based on single-nuclei RNA sequencing data, myotendinous junction myonuclei are enriched for genes involved in which of the following functions?",(A) cell–matrix interactions|(B) protein synthesis|(C) synaptic transmission|(D) Insufficient information to answer the question|(E) signal transduction,A,D,https://doi.org/10.1038/s41586-024-07348-6,cell–matrix interactions,synaptic transmission|signal transduction|protein synthesis
"Based on the single-cell transcriptome analysis highlighting fatty acid metabolism-mediated metastasis and immunosuppression in male breast cancer, what percentage of ER+ MBC patients showed AR-negative status when evaluated by IHR?",(A) 69.9%|(B) 17.4%|(C) Insufficient information to answer the question|(D) 50.0%|(E) 5.3%|(F) 1%,E,C,https://doi.org/10.1038/s41467-023-41318-2,5.3%,1%|17.4%|69.9%|50.0%
"Based on whole genome bisulfite sequencing data (WGBS) from publicly available datasets (the ROADMAP epigenome project and the ENCODE data portal), what is the relationship between DNA methylation patterns between introns and exons (after excluding consideration of the first intron and first exon)?",(A) Exons have more DNA methylation|(B) only areas very close to the transcription start site|(C) Insufficient information to answer the question|(D) Introns have more DNA methylation|(E) There are no significant differences|(F) Neither introns nor exons can be methylated,E,C,https://doi.org/10.1093/nar/gkae252,There are no significant differences,Introns have more DNA methylation|Exons have more DNA methylation|Neither introns nor exons can be methylated|only areas very close to the transcription start site
Beta-amyrin synthase from which of the following plants produces in the highest yield of beta-amyrin from squalene?,(A) Artemisia annua|(B) Arabidopsis thaliana|(C) Saponaria vaccaria|(D) Glycyrrhiza glabra|(E) Insufficient information to answer the question,C,E,https://doi.org/10.1038/s41586-024-07345-9,Saponaria vaccaria,Artemisia annua|Arabidopsis thaliana|Glycyrrhiza glabra
